country_code,country_name,year,literacy,primary,secondary,tertiary,years_schooling,education_component,total_weight
TCD,Chad,2004,0.283799991607666,0.32041112096306745,0.09274638279906261,0.007258604006829914,,0.1927751199730038,0.9
TCD,,2005,,0.3052651003464262,0.09466185326418747,0.008495871661738062,,0.1433214402243214,0.6
TCD,,2006,,0.3030979311565555,0.09671993911543018,,,0.1884434911337081,0.45
TCD,,2007,,0.29730800452353523,0.11147617648248638,,,0.19406810005628586,0.45
TCD,,2008,,0.33453209339458534,0.12670960608231893,0.011703011416695696,,0.16723211985333525,0.6
TCD,,2009,,0.3561077547339121,0.13867805760831622,0.0120991339058466,,0.1795098923912308,0.6
TCD,,2010,,0.35627498676499003,0.13633164626489083,0.01257771607857205,,0.17870761055167755,0.6
TCD,,2011,,0.3864343585792264,0.1390937772386931,0.013278854951155059,,0.19008690711365306,0.6
TCD,,2012,,0.40439409573456486,0.13474411731347397,,,0.25458855216729215,0.45
TCD,,2013,,0.43631816410009067,0.14951627651726054,,,0.2769837821096295,0.45
TCD,,2014,,0.44007661879889143,0.1392528318485726,0.020329361692275557,,0.20979655995960464,0.6
TCD,,2015,,0.39000242048018174,0.13557684944010687,0.01936515885097567,,0.19133245047284902,0.6
TCD,Chad,2016,0.223099994659424,0.3642136358364362,0.13731421098683647,,,0.23213503774909808,0.75
TCD,,2017,,0.3240656024507608,0.12546069350420402,,,0.21372954192489593,0.45
TCD,,2018,,0.3728261905973494,0.12190480355740632,,,0.23342542001960323,0.45
TCD,Chad,2019,0.306299991607666,0.3676293763944835,0.12306740482151811,,,0.26157696528876806,0.75
TCD,,2020,,,,0.026380119047492778,,0.026380119047492778,0.15
TCD,,2021,,0.3814976783543867,0.14111532395220233,,,0.24795192590872872,0.45
TCD,,2022,,0.3857781991720461,,,,0.3857781991720461,0.2
TCD,,2023,,0.3920785226259076,0.14745362950817822,,,0.25617580422716907,0.45
TEA,,1970,,0.5000985828056117,0.17043113473419597,0.017473546820354194,,0.24208088711287418,0.6
TEA,,1971,,0.47502608707786675,0.18841384396271427,0.006747341092093503,,0.23853463261677657,0.6
TEA,,1972,,0.46080298807440134,0.22562915373051634,0.006985722979189956,,0.2493595741573131,0.6
TEA,,1973,,0.4659845620317957,0.2626095552599308,0.007133083726631043,,0.26653210630056084,0.6
TEA,,1974,,0.4612678273939735,0.27453182258011255,0.0077938073924706626,,0.27009265372115576,0.6
TEA,,1975,,0.4844558106108469,0.27734390947384185,0.008472591375908672,,0.27916338032836024,0.6
TEA,East Asia & Pacific (IDA & IBRD countries),1976,0.633536109924316,0.5051539032015642,0.2883750180761239,0.00943235742291214,,0.40511135750008376,0.9
TEA,East Asia & Pacific (IDA & IBRD countries),1977,0.635279083251953,0.5014440388800726,0.2971054487830755,0.010250402548385948,,0.40742939481069684,0.9
TEA,East Asia & Pacific (IDA & IBRD countries),1978,0.647345123291016,0.49023593221160505,0.28862854879065486,0.011770032003598097,,0.40685929491981027,0.9
TEA,East Asia & Pacific (IDA & IBRD countries),1979,0.661076126098633,0.4877742081013446,0.2679626220632398,0.01513857306181685,,0.4057101343610459,0.9
TEA,East Asia & Pacific (IDA & IBRD countries),1980,0.673262100219727,0.48772408125103567,0.23690214528135276,0.018245691559244177,,0.4016509293003889,0.9
TEA,East Asia & Pacific (IDA & IBRD countries),1981,0.684816818237305,0.49742151521533595,0.22160116561356316,0.021473291329445435,,0.403945148463407,0.9
TEA,East Asia & Pacific (IDA & IBRD countries),1982,0.695498275756836,0.5046955271242274,0.20425022563187384,0.023389282885942962,,0.4046217077697291,0.9
TEA,East Asia & Pacific (IDA & IBRD countries),1983,0.705768890380859,0.5168715043177965,0.20157091397066987,0.02339600346986987,,0.4100078855455166,0.9
