country_code,country_name,year,value,indicator
MEA,"Middle East, North Africa, Afghanistan & Pakistan",1988,1735.0,"Patent applications, residents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",1987,1575.0,"Patent applications, residents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",1986,1222.0,"Patent applications, residents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",1985,1486.0,"Patent applications, residents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",1984,1180.0,"Patent applications, residents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",1983,1090.0,"Patent applications, residents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",1982,1077.0,"Patent applications, residents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",1981,1190.0,"Patent applications, residents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",1980,1007.0,"Patent applications, residents"
NAC,North America,2020,274038.0,"Patent applications, residents"
NAC,North America,2019,289351.0,"Patent applications, residents"
NAC,North America,2018,289444.0,"Patent applications, residents"
NAC,North America,2017,297957.0,"Patent applications, residents"
NAC,North America,2016,299405.0,"Patent applications, residents"
NAC,North America,2015,292612.0,"Patent applications, residents"
NAC,North America,2014,289294.0,"Patent applications, residents"
NAC,North America,2013,292398.0,"Patent applications, residents"
NAC,North America,2012,273491.0,"Patent applications, residents"
NAC,North America,2011,252504.0,"Patent applications, residents"
NAC,North America,2010,246527.0,"Patent applications, residents"
NAC,North America,2009,229979.0,"Patent applications, residents"
NAC,North America,2008,236649.0,"Patent applications, residents"
NAC,North America,2007,246345.0,"Patent applications, residents"
NAC,North America,2006,227306.0,"Patent applications, residents"
NAC,North America,2005,213050.0,"Patent applications, residents"
NAC,North America,2004,194767.0,"Patent applications, residents"
NAC,North America,2003,192870.0,"Patent applications, residents"
NAC,North America,2002,188204.0,"Patent applications, residents"
NAC,North America,2001,181476.0,"Patent applications, residents"
NAC,North America,2000,168982.0,"Patent applications, residents"
NAC,North America,1999,153312.0,"Patent applications, residents"
NAC,North America,1998,138542.0,"Patent applications, residents"
NAC,North America,1997,122558.0,"Patent applications, residents"
NAC,North America,1996,109475.0,"Patent applications, residents"
NAC,North America,1995,126393.0,"Patent applications, residents"
NAC,North America,1994,109713.0,"Patent applications, residents"
NAC,North America,1993,103578.0,"Patent applications, residents"
NAC,North America,1992,95232.0,"Patent applications, residents"
NAC,North America,1991,90137.0,"Patent applications, residents"
NAC,North America,1990,93192.0,"Patent applications, residents"
NAC,North America,1989,85401.0,"Patent applications, residents"
NAC,North America,1988,77964.0,"Patent applications, residents"
NAC,North America,1987,70842.0,"Patent applications, residents"
NAC,North America,1986,67356.0,"Patent applications, residents"
NAC,North America,1985,65765.0,"Patent applications, residents"
NAC,North America,1984,63867.0,"Patent applications, residents"
NAC,North America,1983,61408.0,"Patent applications, residents"
NAC,North America,1982,65316.0,"Patent applications, residents"
NAC,North America,1981,64568.0,"Patent applications, residents"
NAC,North America,1980,63746.0,"Patent applications, residents"
SAS,South Asia,2020,23872.0,"Patent applications, residents"
SAS,South Asia,2019,20192.0,"Patent applications, residents"
SAS,South Asia,2018,17008.0,"Patent applications, residents"
SAS,South Asia,2017,15512.0,"Patent applications, residents"
SAS,South Asia,2016,13775.0,"Patent applications, residents"
SAS,South Asia,2015,13059.0,"Patent applications, residents"
SAS,South Asia,2014,12240.0,"Patent applications, residents"
SAS,South Asia,2013,11229.0,"Patent applications, residents"
SAS,South Asia,2012,9723.0,"Patent applications, residents"
SAS,South Asia,2011,9172.0,"Patent applications, residents"
SAS,South Asia,2010,9258.0,"Patent applications, residents"
SAS,South Asia,2009,7519.0,"Patent applications, residents"
SAS,South Asia,2008,6856.0,"Patent applications, residents"
SAS,South Asia,2007,6585.0,"Patent applications, residents"
SAS,South Asia,2006,5952.0,"Patent applications, residents"
SAS,South Asia,2005,5063.0,"Patent applications, residents"
SAS,South Asia,2004,4255.0,"Patent applications, residents"
SAS,South Asia,2003,3635.0,"Patent applications, residents"
SAS,South Asia,2002,2914.0,"Patent applications, residents"
SAS,South Asia,2001,2616.0,"Patent applications, residents"
SAS,South Asia,2000,2393.0,"Patent applications, residents"
SAS,South Asia,1999,2418.0,"Patent applications, residents"
