year,polity2_score,country_count,h7_institutions_component
1862,-3.0545454545454547,55,0.3472727272727273
1863,-2.9814814814814814,54,0.350925925925926
1864,-3.0545454545454547,55,0.3472727272727273
1865,-2.963636363636364,55,0.3518181818181818
1866,-3.090909090909091,55,0.34545454545454546
1867,-2.7586206896551726,58,0.3620689655172414
1868,-2.7586206896551726,58,0.3620689655172414
1869,-2.6379310344827585,58,0.3681034482758621
1870,-2.5344827586206895,58,0.3732758620689655
1871,-2.3333333333333335,57,0.3833333333333333
1872,-1.9056603773584906,53,0.4047169811320755
1873,-1.849056603773585,53,0.4075471698113208
1874,-1.7547169811320755,53,0.41226415094339625
1875,-1.679245283018868,53,0.41603773584905657
1876,-1.8867924528301887,53,0.40566037735849053
1877,-1.9056603773584906,53,0.4047169811320755
1878,-1.9245283018867925,53,0.4037735849056604
1879,-1.7962962962962963,54,0.4101851851851852
1880,-1.3518518518518519,54,0.43240740740740746
1881,-1.3396226415094339,53,0.43301886792452826
1882,-1.3396226415094339,53,0.43301886792452826
1883,-1.2777777777777777,54,0.43611111111111106
1884,-1.3703703703703705,54,0.43148148148148147
1885,-1.2777777777777777,54,0.43611111111111106
1886,-1.462962962962963,54,0.4268518518518518
1887,-1.462962962962963,54,0.4268518518518518
1888,-1.3333333333333333,54,0.4333333333333333
1889,-1.2592592592592593,54,0.437037037037037
1890,-0.9814814814814815,54,0.45092592592592595
1891,-1.0185185185185186,54,0.44907407407407407
1892,-1.0,54,0.45
1893,-0.9814814814814815,54,0.45092592592592595
1894,-0.8518518518518519,54,0.45740740740740743
1895,-0.8703703703703703,54,0.4564814814814815
1896,-0.9629629629629629,54,0.45185185185185184
1897,-0.9629629629629629,54,0.45185185185185184
1898,-0.6296296296296297,54,0.4685185185185185
1899,-0.6296296296296297,54,0.4685185185185185
1900,-0.6481481481481481,54,0.46759259259259256
1901,-0.45454545454545453,55,0.47727272727272724
1902,-0.375,56,0.48125
1903,-0.4107142857142857,56,0.4794642857142857
1904,-0.5,56,0.475
1905,-0.44642857142857145,56,0.47767857142857145
1906,-0.17857142857142858,56,0.49107142857142855
1907,-0.48214285714285715,56,0.4758928571428571
1908,-0.017543859649122806,57,0.49912280701754386
1909,0.03508771929824561,57,0.5017543859649123
1910,0.25862068965517243,58,0.5129310344827587
1911,0.543859649122807,57,0.5271929824561403
1912,0.6071428571428571,56,0.5303571428571429
1913,0.9454545454545454,55,0.5472727272727272
1914,0.6727272727272727,55,0.5336363636363636
1915,0.7037037037037037,54,0.5351851851851852
1916,0.8076923076923077,52,0.5403846153846155
1917,1.1428571428571428,56,0.5571428571428572
1918,1.4137931034482758,58,0.5706896551724138
1919,1.4827586206896552,58,0.5741379310344827
1920,1.8524590163934427,61,0.5926229508196721
1921,2.0161290322580645,62,0.6008064516129032
1922,1.8461538461538463,65,0.5923076923076923
1923,1.53125,64,0.5765625
