year,h7_energy_component,h7_tech_component,h7_institutions_component,h7_computation_component,h7_composite
1919,0.0,0.1223985771316443,0.5741379310344827,0.12576923076923072,0.17231343327629062
1920,0.0,0.1307840275294094,0.5926229508196721,0.1269230769230769,0.17899401617384983
1921,0.0,0.1397285079536923,0.6008064516129032,0.1284615384615384,0.18372863123004504
1922,0.0,0.1340818213746016,0.5923076923076923,0.12999999999999995,0.18029079822448787
1923,0.0,0.1225161828720932,0.5765625,0.1315384615384615,0.17343714967291599
1924,0.0,0.1228448345303342,0.5561538461538461,0.133076923076923,0.16941034704970692
1925,0.0,0.1280339864479522,0.5455223880597015,0.13461538461538453,0.16899211561742047
1926,0.0,0.1298979568821912,0.5380597014925372,0.13615384615384607,0.1681752681311186
1927,0.0,0.1393289706436739,0.5328358208955224,0.13769230769230761,0.1702500237632661
1928,0.0,0.1399476090591863,0.5198529411764705,0.13923076923076913,0.16787542946907535
1929,0.0,0.1434097287334989,0.5073529411764706,0.14076923076923065,0.16651215391870153
1930,0.0,0.1430907433005004,0.4977941176470588,0.1423076923076922,0.1645565717928117
1931,0.0,0.1272800208790465,0.4897058823529412,0.14346153846153836,0.15791399582156637
1932,0.0,0.1067650688396341,0.4911764705882353,0.1446153846153845,0.15177341931375077
1933,0.0,0.0899329486175686,0.4727941176470588,0.14576923076923068,0.1426422313404274
1934,0.0,0.0900698868085024,0.4507246376811594,0.14692307692307682,0.13816684538407192
1935,0.0,0.0924445561430472,0.4507142857142857,0.148076923076923,0.13903995027346738
1936,0.0,0.0996652263991055,0.4239130434782608,0.14923076923076917,0.13583768850122543
1937,0.0,0.1040553036966867,0.4463235294117647,0.1503846153846153,0.14206409989787186
1938,0.0,0.1065524118843017,0.4485294117647059,0.15153846153846148,0.14344179442741092
1939,0.0,0.1020721164844583,0.4514925373134328,0.15269230769230763,0.1427457408800783
1940,0.0,0.0968684652289767,0.3909836065573771,0.1538461538461538,0.1284890816349371
1941,0.0,0.0831359812346347,0.4133928571428571,0.16666666666666663,0.13008268066174977
1942,0.0,0.0721970363353406,0.4094827586206896,0.17948717948717943,0.12704314888637175
1943,0.0,0.0721068182330784,0.4169491525423728,0.19230769230769224,0.1298642730992526
1944,0.0,0.0861180117219091,0.4596774193548387,0.20512820512820507,0.14460284232834753
1945,0.0,0.1081183403735673,0.4977611940298507,0.2179487179487179,0.16092259146068197
1946,0.0,0.1294001462822086,0.5080882352941176,0.2307692307692307,0.17118349929899454
1947,0.0,0.1203573925679616,0.5028985507246377,0.2528846153846153,0.16941152281238317
1948,0.0,0.1095586079346821,0.4986486486486486,0.27499999999999997,0.16727497075531447
1949,0.0,0.1077091368383066,0.4948051948051948,0.29711538461538456,0.1680875531588875
1950,0.0,0.1071807165250564,0.487012987012987,0.3192307692307692,0.16849363348382224
1951,0.0,0.0961837742743081,0.4848101265822785,0.3246153846153846,0.16505047281159554
1952,0.0,0.1028148047905812,0.4981481481481482,0.32999999999999996,0.1705118486440971
1953,0.0,0.1152681249778482,0.4939759036144578,0.33538461538461534,0.1741592012904091
1954,0.0,0.1231638199633327,0.4803571428571428,0.3407692307692307,0.17436434546518953
1955,0.0,0.1231686530759539,0.4817647058823529,0.3461538461538461,0.17519994183498394
1956,0.0,0.1194922654087685,0.5017241379310345,0.35153846153846147,0.17875344005016933
1957,0.0,0.1183500397926272,0.501123595505618,0.35692307692307684,0.17880027548212818
1958,0.0,0.1236632416008557,0.4775280898876405,0.3623076923076922,0.17608390541944757
1959,0.0,0.1254337718577518,0.485,0.3676923076923076,0.17875803776371135
1960,0.0,0.127038365247987,0.4825688073394495,0.373076923076923,0.17929941872833252
